creator_key,creator,title,media_type,publication_year,rating,period_of_my_life,tags,url
Abelson,Hal Abelson,Introduction to The Structure and Interpretation of Computer Programs,Link,1986,Loved,20s,"{Sublime Introductory Lectures},{Programming}",https://www.youtube.com/watch?time_continue=801&v=2Op3QLzMgSY
Alexander,Scott Alexander,Conflict vs. Mistake,Link,2018,Loved,20s,{Epistemology},https://slatestarcodex.com/2018/01/24/conflict-vs-mistake/
Alexander,Scott Alexander,Pushing And Pulling Goals,Link,2016,Loved,20s,"{Self-improvement},{Strategy},{Goal-setting}",https://slatestarcodex.com/2016/07/18/pushing-and-pulling-goals/
Alexander,Scott Alexander,The Parable of the Talents,Link,2015,Loved,20s,"{Self-improvement},{Skill development}",https://slatestarcodex.com/2015/01/31/the-parable-of-the-talents/
Alexander,Scott Alexander,Nonfiction Writing Advice,Link,2016,Loved,20s,{Communication},https://slatestarcodex.com/2016/02/20/writing-advice/
Branwen,Gwern Branwen,My Ordinary Life: Improvements Since the 1990s,Link,,Loved,20s,{Progress},https://www.gwern.net/Improvements
Caplan,Bryan Caplan,The Ideological Turing Test,Link,2011,Loved,20s,{Epistemology},https://www.econlib.org/archives/2011/06/the_ideological.html
Chang,Robert Chang,How I Build Learning Projects,Link,2019,Loved,20s,"{Learning},{Self-improvement},{Skill development}",https://medium.com/@rchang/how-i-build-learning-projects-part-i-54dbaad68961
Collison,Patrick Collison,Fast,Link,,Loved,20s,{Progress},https://patrickcollison.com/fast
Davis,A. Jesse Jiryu Davis,Write an excellent programming blog,Link,2018,Loved,20s,"{Communication},{Self-improvement}",https://emptysqua.re/blog/write-an-excellent-programming-blog/
Eghbal,Nadia Eghbal,The tyranny of ideas,Link,2019,Loved,20s,{Memetics},https://nadiaeghbal.com/ideas
Eghbal,Nadia Eghbal,Being basic as a virtue,Link,2019,Loved,20s,{Productivity},https://nadiaeghbal.com/basic
Forte,Tiago Forte,One Touch to Inbox Zero,Link,2015,Loved,20s,"{Self-improvement},{Productivity}",https://fortelabs.co/blog/one-touch-to-inbox-zero/
Forte,Tiago Forte,Theory of Constraints 101,Link,2016,Loved,20s,"{Systems},{Productivity},{Strategy}",https://fortelabs.co/blog/theory-of-constraints-101-table-of-contents/
Freeman,Joanne Freeman,Introduction to the American Revolution,Link,2010,Loved,20s,{Sublime Introductory Lectures},https://oyc.yale.edu/history/hist-116/lecture-1
Galef,Julia Galef,A taxonomy of ways books change your worldview,Link,2017,Loved,20s,{Epistemology},https://juliagalef.com/2017/01/06/a-taxonomy-of-books-that-change-your-worldview/
Gross,Daniel Gross,Improvisational Productivity,Link,2020,Loved,20s,{Productivity},https://dcgross.com/improvising-for-productivity/
Hamming,Richard Hamming,Introduction to the Art of Doing Science and Engineering,Link,1995,Loved,20s,{Sublime Introductory Lectures},https://www.youtube.com/watch?list=PL2FF649D0C4407B30&v=AD4b-52jtos
Hoare,Graydon Hoare,Always bet on text,Link,2014,Loved,20s,{Media},https://graydon2.dreamwidth.org/193447.html
Hobart,Byrne Hobart,Cost-First New Year's Resolutions,Link,2018,Loved,20s,"{Self-improvement},{Goal-setting},{Strategy}",https://medium.com/@byrnehobart/cost-first-new-years-resolutions-6bb30393201d
Hofstadter,Douglas Hofstadter,Analogy as the Core of Cognition,Link,2009,Loved,20s,{Learning},https://www.youtube.com/watch?v=n8m7lFQ3njk
Landers,Eric Landers,Introduction to Biology,Link,2020,Loved,20s,"{Sublime Introductory Lectures},{Biology}",https://www.youtube.com/watch?v=rS4wX1gxudI
Lewis,Aaron Z. Lewis,Solved Conversations,Link,2014,Loved,20s,{Communication},https://aaronzlewis.com/blog/2014/06/01/solved-conversations/
Lewis,Aaron Z. Lewis,Being Your Selves: Identity R&D on the Pseudonymous Internet,Link,2020,Loved,20s,"{Media},{Internet}",https://aaronzlewis.com/blog/2020/02/18/being-your-selves-identity-r-and-d-on-the-pseudonymous-internet/
Lo,Andrew Lo,Introduction to Finance Theory,Link,2008,Loved,20s,"{Sublime Introductory Lectures},{Finance}",https://www.youtube.com/watch?v=HdHlfiOAJyE
Matuschak,Andy Matuschak,Why books don't work,Link,2019,Loved,20s,"{Media},{Learning}",https://andymatuschak.org/books/
Meadows,Donella Meadows,Leverage Points,Link,1999,Loved,20s,"{Systems},{Decision making}",http://donellameadows.org/archives/leverage-points-places-to-intervene-in-a-system/
Nielsen,Michael Nielsen,Principles of Effective Research,Link,2004,Loved,20s,"{Research},{Productivity},{Self-improvement},{Skill development},{Goal-setting},{Strategy}",http://michaelnielsen.org/blog/principles-of-effective-research/
Perry,Sarah Perry,Deep Laziness,Link,2018,Loved,20s,{Self-improvement},https://www.ribbonfarm.com/2018/04/06/deep-laziness/
Procida,Daniele Procida,What nobody tells you about documentation,Link,2017,Loved,20s,{Communication},https://documentation.divio.com/
Salvatier,John Salvatier,Reality has a surprising amount of detail,Link,2017,Loved,20s,"{Epistemology},{Systems}",http://johnsalvatier.org/blog/2017/reality-has-a-surprising-amount-of-detail
Sandel,John Sandel,Introduction to Justice,Link,2009,Loved,20s,{Sublime Introductory Lectures},https://www.youtube.com/watch?v=kBdfcR-8hEY
Sapolsky,Robert Sapolsky,Introduction to Human Behavioral Biology,Link,2010,Loved,20s,"{Sublime Introductory Lectures},{Biology}",https://www.youtube.com/watch?v=NNnIGh9g6fA
Simler,Kevin Simler,Crony Beliefs,Link,2016,Loved,20s,{Epistemology},https://meltingasphalt.com/crony-beliefs/
Simler,Kevin Simler,Going Critical,Link,2019,Loved,20s,"{Systems},{Memetics}",https://meltingasphalt.com/going-critical/
Simler,Kevin Simler,A Natural History of Beauty,Link,2018,Loved,20s,{Ecology},https://meltingasphalt.com/a-natural-history-of-beauty/
Simler,Kevin Simler,Here Be Sermons,Link,2017,Loved,20s,{Memetics},https://meltingasphalt.com/here-be-sermons/
Silver,David Silver,Introduction to Reinforcement Learning,Link,2015,Loved,20s,"{Sublime Introductory Lectures},{Artificial Intelligence}",https://www.youtube.com/watch?v=2pWv7GOvuf0
Somers,James Somers,Speed matters: Why working quickly is more important than it seems,Link,2015,Loved,20s,"{Productivity},{Self-improvement},{Strategy},{Skill development}",https://jsomers.net/blog/speed-matters
Somers,James Somers,You're probably using the wrong dictionary,Link,2014,Loved,20s,{Communication},https://jsomers.net/blog/dictionary
Steinhardt,Jacob Steinhardt,Research as a stochastic decision process,Link,2019,Loved,20s,"{Strategy},{Decision making},{Research}",https://cs.stanford.edu/~jsteinhardt/ResearchasaStochasticDecisionProcess.html
Vance,Alyssa Vance,Levels of Action,Link,2015,Loved,20s,"{Strategy},{Self-improvement},{Skill development}",https://www.lesswrong.com/posts/guDcrPqLsnhEjrPZj/levels-of-action
Wang,Dan Wang,Definite optimism as human capital,Link,2017,Loved,20s,{Progress},https://danwang.co/definite-optimism-as-human-capital/
Winston,Patrick Winston,How to Speak,Link,2018,Loved,20s,{Communication},https://ocw.mit.edu/resources/res-tll-005-how-to-speak-january-iap-2018/index.htm