surname,full_name,gender,nationality
Adams,Scott Adams,M,American
Adams,Douglas Adams,M,British
Adler,Mortimer J. Adler,M,American
Ahrens,Sönke Ahrens,M,German
Ariely,Dan Ariely,M,Israeli-American
Asimov,Isaac Asimov,M,American
Atwood,Margaret Atwood,F,Canadian
Aurelius,Marcus Aurelius,M,Roman
Bach,Richard Bach,M,American
Banks,Iain M. Banks,M,Scottish
Barabási,Albert-László Barabási,M,American-Hungarian-Romanian
Barnes,Julian Barnes,M,British
Barnett,Rob Barnett,M,American
Barron,T.A. Barron,M,Canadian
Bloom,Paul Bloom,M,Canadian-American
Bock,Dennis Bock,M,Canadian
Borges,Jorge Luis Borges,M,Argentinian
Bostrom,Nick Bostrom,M,Swedish
Bradbury,Ray Bradbury,M,American
Briggs,Kate Briggs,F,Dutch
Brooks,Terry Brooks,M,American
Browder,Bill Browder,M,American-British
Brown,Dan Brown,M,American
Butler,Octavia E. Butler,F,American
Campbell,Joseph Campbell,M,American
Camus,Albert Camus,M,French
Card,Orson Scott Card,M,American
Carnegie,Dale Carnegie,M,American
Caro,Robert A. Caro,M,American
Carroll,Lewis Carroll,M,British
Catmull,Ed Catmull,M,American
Cervantes,Miguel de Cervantes,M,Spanish
Chabon,Michael Chabon,M,American
Chiang,Ted Chiang,M,American
Chilton,David Chilton,M,Canadian
Christian,Brian Christian,M,American
Cialdini,Robert B. Cialdini,M,American
Cixin,Cixin Liu,M,Chinese
Clarke,Arthur C. Clarke,M,British
Clarke,Susanna Clarke,F,British
Clavell,James Clavell,M,Australian
Clear,James Clear,M,American
Coelho,Paulo Coelho,M,Brazillian
Coetzee,J.M. Coetzee,M,South African
Collins,Suzanne Collins,F,American
Confucius,Confucius,M,Chinese
Conrad,Joseph Conrad,M,Polish-British
Cowen,Tyler Cowen,M,American
Crawford,Matthew B. Crawford,M,American
Crichton,Michael Crichton,M,American
Csikszentmihalyi,Mihaly Csikszentmihalyi,M,Hungarian-American
Czuchlewski,David Czuchlewski,M,American
Davidson,Richard Davidson,M,American
Dawkins,Richard Dawkins,M,British
de la Pava,Sergio de la Pava,M,American
Dickens,Charles Dickens,M,British
Dillard,Annie Dillard,F,American
Dixon,Franklin W. Dixon,M,American
Doerr,Anthony Doerr,M,American
Dostoyevsky,Fyodor Dostoyevsky,M,Russian
Duckworth,Angela Duckworth,F,American
Durant,Will Durant,M,American
Ellenberg,Jordan Ellenberg,M,American
Eghbal,Nadia Eghbal,F,American
Emerson,Ralph Waldo Emerson,M,American
Ferrante,Elena Ferrante,F,Italian
Feynman,Richard P. Feynman,M,American
Findley,Timothy Findley,M,Canadian
Finnegan,William Finnegan,M,American
Fitzgerald,F. Scott Fitzgerald,M,American
Forster,E.M. Forster,M,British
Frank,Anne Frank,F,German
Franklin,Benjamin Franklin,M,American
Gaiman,Neil Gaiman,M,British
Galef,Julia Galef,F,American
Gates,Bill Gates,M,American
Gibson,William Gibson,M,American-Canadian
Gilbert,Daniel Todd Gilbert,M,American
Gladwell,Malcolm Gladwell,M,Canadian
Gleick,James Gleick,M,American
Golding,William Golding,M,British
Goldstein,Rebecca Goldstein,F,American
Goleman,Daniel Goleman,M,American
Gopen,George D. Gopen,M,American
Gottlieb,Anthony Gottlieb,M,British
Gottlieb,Lori Gottlieb,F,American
Gowdy,Barbara Gowdy,F,American
Graeber,David Graeber,M,American
Grahame,Kenneth Grahame,M,British
Griffiths,Tom Griffiths,M,American
Grinberg,Miguel Grinberg,M,American
Haidt,Jonathan Haidt,M,American
Hanson,Robin Hanson,M,American
Harari,Yuval Noah Harari,M,Israeli
Hargrove,Todd Hargrove,M,American
Harris,Judith Rich Harris,F,American
Harris,Sam Harris,M,American
Hawley,Noah Hawley,M,American
Hemingway,Ernest Hemingway,M,American
Herbert,Frank Herbert,M,American
Hesse,Hermann Hesse,M,German-Swiss
Hill,Lawrence Hill,M,Canadian
Hinton,S.E. Hinton,F,American
Hofstadter,Douglas Hofstadter,M,American
Holt,Jim Holt,M,American
Homer,Homer,M,Greek
Housel,Morgan Housel,M,American
Huston,Therese Huston,F,American
Irving,John Irving,M,American
Isaacson,Walter Isaacson,M,American
Ishiguro,Kazuo Ishiguro,M,Japanese
Jacobs,Alan Jacobs,M,American
Jacobs,Jane Jacobs,F,American
Jahren,Hope Jahren,F,American
James et al.,Gareth James et al.,M,American
Jemisin,N.K. Jemisin,F,American
Johnstone,Keith Johnstone,M,British Canadian
Jones,Lloyd Jones,M,New Zealand
Jordan,Robert Jordan,M,American
Joyce,James Joyce,M,Irish
Kabat-Zinn,Jon Kabat-Zinn,M,American
Kadare,Ismail Kadare,M,Albanian
Kafka,Franz Kafka,M,German
Kahneman,Daniel Kahneman,M,Israeli
Kalanithi,Paul Kalanithi,M,American
Kaufman,Josh Kaufman,M,American
Kay,Guy Gavriel Kay,M,Canadian
Keyes,Daniel Keyes,M,American
King,Stephen King,M,American
Kishimi,Ichiro Kishimi,M,Japanese
Kleist,Heinrich von Kleist,M,German
Koga,Fumitake Koga,M,Japanese
Lang,James M. Lang,M,American
Le Guin,Ursula K. Le Guin,F,American
Lee,Harper Lee,F,American
Levi,Primo Levi,M,Italian
Lewis,C.S. Lewis,M,British
Lightman,Alan Lightman,M,American
MacDonald,George MacDonald,M,Scottish
Martel,Yann Martel,M,Canadian
Martin,George R.R. Martin,M,American
McCarthy,Cormac McCarthy,M,American
McGrayne,Sharon Bertsch McGrayne,F,American
McMurtry,Larry McMurtry,M,American
Meadows,Donella Meadows,F,American
Medina,John Medina,M,American
Miéville,China Miéville,M,British
Milkman,Katy Milkman,F,American
Miller,Chanel Miller,F,American
Miller,Madeline Miller,F,American
Millhauser,Steven Millhauser,M,American
Morrison,Toni Morrison,F,American
Moss,Stephen Moss,M,American
Murakami,Haruki Murakami,M,Japanese
Márquez,Gabriel García Márquez,M,Colombian
Nabokov,Vladimir Nabokov,M,Russian-American
Nicholson,William Nicholson,M,British
Nielsen,Michael Nielsen,M,Australian
Nimmo,Jenny Nimmo,F,British
O'Shaughnessy,Patrick O'Shaughnessy,M,American
Oakley,Barbara Oakley,F,American
Olson,Randy Olson,M,American
Oppel,Kenneth Oppel,M,American
Orwell,George Orwell,M,British
Palahniuk,Chuck Palahniuk,M,American
Paolini,Christopher Paolini,M,American
Patterson,James Patterson,M,American
Paulsen,Gary Paulsen,M,American
Payne,Christopher Payne,M,American
Piatigorsky,Anton Piatigorsky,M,Canadian
Pinker,Steven Pinker,M,Canadian-American
Pullman,Philip Pullman,M,British
Reid,Iain Reid,M,Canadian
Ritchie,Stuart Ritchie,M,Scottish
Robbins,Anthony Robbins,M,American
Rowling,J.K. Rowling,F,British
Rushdie,Salman Rushdie,M,British-Indian
Sachar,Louis Sachar,M,American
Saint-Exupéry,Antoine de Saint-Exupéry,M,French
Salinger,J.D. Salinger,M,American
Sapolsky,Robert M. Sapolsky,M,American
Schneier,Bruce Schneier,M,American
Shelley,Mary Wollstonecraft Shelley,F,British
Silver,Nate Silver,M,American
Simler,Kevin Simler,M,American
Snicket,Lemony Snicket,M,American
Spong,John Shelby Spong,M,American
Stanovich et al.,Keith Stanovich et al.,M,American
Starnone,Domenico Starnone,M,Italian
Steinbeck,John Steinbeck,M,American
Stephens-Davidowitz,Seth Stephens-Davidowitz,M,American
Stephenson,Neal Stephenson,M,American
Sterling,Bruce Sterling,M,American
Strunk,William Strunk Jr.,M,American
Swift,Jonathan Swift,M,British
Taleb,Nassim Nicholas Taleb,M,Lebanese-American
Thaler,Richard H. Thaler,M,American
Thiel,Peter Thiel,M,American
Thomas,Francis-Noël Thomas,M,French
Thoreau,Henry David Thoreau,M,American
Tolkien,J.R.R. Tolkien,M,British
Tsatsouline,Pavel Tsatsouline,M,Belarusian
Turner,Mark Turner,M,American
Tzu,Sun Tzu,M,Chinese
Tzu,Lao Tzu,M,Chinese
Van Doren,Charles Van Doren,M,American
Vance,Ashlee Vance,M,American
Verne,Jules Verne,M,French
Voltaire,Voltaire,M,French
Vonnegut,Kurt Vonnegut Jr.,M,American
Voss,Chris Voss,M,American
Wagamese,Richard Wagamese,M,Ojibwe
Wallace,David Foster Wallace,M,American
Watterson,Bill Watterson,M,American
Weir,Andy Weir,M,American
Wells,H.G. Wells,M,British
Wells,Greg Wells,M,Canadian
Westover,Tara Westover,F,American
White,E.B. White,M,American
Wickham,Hadley Wickham,M,New Zealand
Wiener,Anna Wiener,F,American
Wiesel,Elie Wiesel,M,Romanian-American
Wilde,Oscar Wilde,M,British
Wilson,Greg Wilson,M,Canadian
Wilson,Robert Charles Wilson,M,American-Canadian
Wolf,Christa Wolf,F,German
Woolf,Virginia Woolf,F,British
Wright,Ronald Wright,M,Canadian
Wyndham,John Wyndham,M,British
Yudkowsky,Eliezer Yudkowsky,M,American